id,gender,race,appointed_date,active,complaint_percentile,civilian_allegation_percentile,last_unit_id,crid,incident_date,point,beat_id,location,allegation_category_id,disciplined,crew_id
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1023422,2009-01-24 00:00:00+00,0101000020E61000003DADECCCCEE655C0FB4C07FC2BE24440,203,Police Building,208,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1023352,2009-01-24 00:00:00+00,,216,Private Residence,75,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1022200,2008-09-01 00:00:00+00,0101000020E6100000A159C8128CE555C059F38876BAE24440,209,Public Way - Other,72,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1019109,2008-08-14 00:00:00+00,0101000020E6100000E926D64E39E655C087AF65E88EE14440,216,Public Way - Other,31,,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1010925,2007-11-14 00:00:00+00,0101000020E61000005902DF23D1E555C01956F146E6E24440,209,Public Way - Other,70,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1005074,2007-04-20 00:00:00+00,0101000020E6100000CA17B49080E455C0C9552C7E53E24440,264,Public Way - Other,98,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1080707,2016-04-16 00:00:00+00,0101000020E610000064D817BFDFE455C09004D0DECFE24440,264,Public Way - Other,98,,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1082478,2016-10-02 00:00:00+00,0101000020E6100000F19D98F562E555C0780AB952CFE24440,209,Residence,204,,1393
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,302964,2005-01-07 00:00:00+00,0101000020E6100000E131F26819ED55C0888F3E9C76E74440,99,Public Way - Other,107,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,279752,2002-04-13 00:00:00+00,,153,Private Residence,31,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,262233,2000-03-28 00:00:00+00,0101000020E6100000C201E3CFA6ED55C04859750C7EF44440,144,Public Way - Other,194,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,261046,2000-03-23 00:00:00+00,0101000020E61000000C74ED0B68EE55C0392E3E6079F44440,147,Public Way - Other,92,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C262233,2000-03-28 00:00:00+00,0101000020E6100000E76D6C76A4ED55C0B495F2B5C2ED4440,,"",194,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C261046,2000-03-23 00:00:00+00,0101000020E6100000647616BD53EE55C09DCF25C1C0ED4440,,"",92,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C253565,1999-05-07 00:00:00+00,0101000020E6100000C8A9E7EE04EE55C0DFD8582EC0ED4440,,"",92,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C253185,1999-04-05 00:00:00+00,0101000020E6100000C360A351A6EE55C07ADFF8DA33EE4440,,"",98,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C240957,1997-10-20 00:00:00+00,0101000020E61000001A1C806841ED55C088C6C9B381EE4440,,"",171,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C238191,1997-07-05 00:00:00+00,0101000020E6100000A6176B6EBBEE55C046274BADF7ED4440,,"",98,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C237066,1997-05-24 00:00:00+00,0101000020E61000001A1C806841ED55C088C6C9B381EE4440,,"",98,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C236491,1997-04-30 00:00:00+00,0101000020E610000064BD6257A4ED55C02D149FF133EE4440,,"",32,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C234992,1992-09-16 00:00:00+00,0101000020E610000044EA2C69FBEE55C02C6CBC2A06ED4440,,"",208,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C234019,1997-01-06 00:00:00+00,0101000020E6100000CB10C7BA38EE55C065A54929E8EE4440,,"",205,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C233478,1992-09-16 00:00:00+00,0101000020E610000044EA2C69FBEE55C02C6CBC2A06ED4440,,"",155,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C227188,1996-05-16 00:00:00+00,0101000020E6100000D084814298EE55C0C9810D3E83ED4440,,"",71,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C224360,1996-01-25 00:00:00+00,0101000020E6100000786000E143EE55C01E8997A773EE4440,,"",98,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C222058,1995-10-24 00:00:00+00,,,"",91,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C216367,1995-02-13 00:00:00+00,0101000020E610000077F35487DCED55C0696E85B01AED4440,,"",208,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C208393,1994-04-09 00:00:00+00,0101000020E610000082C476F780EE55C0832FF1EC97E44440,,"",98,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C208360,1994-04-04 00:00:00+00,0101000020E610000099CB571355EE55C0D79D93837EE84440,,"",159,false,64
425,M,Hispanic,1985-09-09,No,91.6783,58.5850,11,C201835,1991-05-13 00:00:00+00,0101000020E6100000E76D6C76A4ED55C0B495F2B5C2ED4440,,"",98,false,64
